close_value,cv_diff_value,cv_diff_rate,cv_ma3_value,cv_ma4_value,cv_ma5_value,cv_ma3_rate,cv_ma4_rate,cv_ma5_rate,ud_3d,ud_4d,ud_5d,cv3d_diff_rate,cv4d_diff_rate,cv5d_diff_rate,cv_diff_rate_rate,Skhynix_cv_diff_value,samsung_cv_diff_value,kosdaq_diff_rate
1985,0,0,1980,1980,1980,0.168350168,0.126342388,0.151745068,0,0,0,0.002525253,0.005063291,0.005063291,-0.252525253,2200,29000,1.14
1985,5,0.252525253,1977,1977,1977,0.168634064,0.189873418,0.151975684,0,0,0,0.005063291,0.005063291,0.007614213,-0.000639304,-500,-11000,-0.64
1980,5,0.253164557,1974,1974,1974,0.168918919,0.126742712,0.101419878,0,0,0,0.005063291,0.007614213,0.007614213,0.253164557,-1100,-16000,-3.1
1975,0,0,1972,1972,1972,0.084530854,0.063411541,0.050735667,0,0,0,0.005076142,0.005076142,0.005076142,-0.253807107,-1100,-20000,-0.25
1975,5,0.253807107,1971,1971,1971,0.084602369,0.063451777,0.050761421,0,0,0,0.002538071,0.002538071,0.002538071,0.253807107,1300,12000,0.17
1970,0,0,1970,1970,1970,0,0,0.050787202,0,0,0,0.002538071,0.002538071,0.002538071,0,-2000,-30000,-0.3
1970,0,0,1969,1969,1969,0,0.063492063,0.101677682,-1,-1,0,0,0,0.002544529,0,1700,1000,0.83
1970,0,0,1967,1967,1967,0.084674005,0.127145582,0.0508647,-1,0,0,0,0.002544529,0.005102041,0,2500,33000,0.32
1970,0,0,1966,1966,1966,0.169635284,0.063613232,0.050890585,0,0,0,0.002544529,0.005102041,0.002544529,-0.254452926,0,-17000,1.23
1970,5,0.254452926,1965,1965,1965,0.084889643,0.063653724,0,0,0,0,0.005102041,0.002544529,0.002544529,-0.000649115,200,24000,0.36
1965,5,0.255102041,1965,1965,1965,0,-0.063613232,-0.0508647,0,0,0,0.002544529,0.002544529,0,0.509554967,800,-33000,-0.55
1960,-5,-0.254452926,1966,1966,1966,-0.169491525,-0.127064803,-0.050838841,0,0,0,0,-0.002538071,-0.002538071,-0.254452926,1200,79000,-1.11
1965,0,0,1967,1967,1967,-0.084674005,0,0,-1,-1,0,-0.005076142,-0.005076142,-0.002544529,0.253807107,2300,49000,-0.68
1965,-5,-0.253807107,1967,1967,1967,0,0,-0.050813008,-1,0,0,-0.002538071,0,0,-0.253807107,-100,-5000,0.62
1970,0,0,1968,1968,1968,0.084745763,0,0,0,0,0,0,0,-0.002538071,-0.254452926,1300,16000,-0.21
1970,5,0.254452926,1968,1968,1968,0,0,-0.050787202,0,0,0,0.002544529,0,0,0.254452926,500,-2000,-0.25
1965,0,0,1969,1969,1969,-0.084674005,-0.126903553,-0.050761421,0,0,0,0,0,-0.002531646,0.253807107,1300,1000,0.97
1965,-5,-0.253807107,1970,1970,1970,-0.169061708,-0.063411541,-0.050735667,-1,-1,0,-0.002538071,-0.005063291,-0.002538071,-0.253807107,-800,-36000,-1.87
1970,0,0,1971,1971,1971,0,0,0,-1,0,0,-0.005063291,-0.002538071,-0.002538071,0.253164557,1600,47000,0.44
1970,-5,-0.253164557,1971,1971,1971,0,0,0.101574403,0,0,0,0,0,0,-0.506971664,200,-7000,1.77
1975,5,0.253807107,1969,1969,1969,0.084602369,0.190597205,0.050813008,0,0,0,0,0,0.005102041,0.253807107,400,-32000,0.47
1970,0,0,1968,1968,1968,0.169491525,0,0,0,0,0,0.002538071,0.007653061,0.002538071,0,-1000,-1000,0.66
1970,0,0,1968,1968,1968,0,0,0,0,0,0,0.005102041,0,0,-0.510204082,700,64000,0.79
1970,10,0.510204082,1968,1968,1968,0,0,-0.050787202,0,0,0,0,0,0,1.017818295,-600,-1000,0.32
1960,-10,-0.507614213,1969,1969,1969,-0.169204738,-0.190234623,-0.101471334,0,0,0,0,0,-0.002531646,-0.507614213,-400,3000,0.28
1970,0,0,1971,1971,1971,-0.084530854,0,-0.050709939,-1,-1,0,-0.005076142,-0.007594937,-0.005076142,0,-500,-49000,1.43
1970,0,0,1972,1972,1972,0,-0.063371356,-0.050684237,-1,0,0,-0.002531646,0,-0.002531646,0.253164557,800,-23000,-0.56
1970,-5,-0.253164557,1973,1973,1973,-0.084459459,-0.063331222,-0.050658561,0,0,0,0,-0.002531646,-0.002531646,-0.506971664,1300,20000,1.13
1975,5,0.253807107,1974,1974,1974,0,0,0,0,0,0,-0.002531646,-0.002531646,-0.002531646,0.506971664,0,40000,-0.68
1970,-5,-0.253164557,1974,1974,1974,-0.084388186,-0.063291139,-0.050632911,0,0,0,0,0,0,-0.253164557,700,-2000,-0.8
1975,0,0,1975,1975,1975,0,0,0,-1,-1,-1,-0.002531646,-0.002531646,-0.002531646,0,-900,-9000,0.46
1975,0,0,1975,1975,1975,0,0,0,-1,-1,-1,0,0,0,0,1800,19000,-0.3
1975,0,0,1975,1975,1975,0,0,0.101368474,-1,-1,-1,0,0,0,0,-1500,-61000,0.85
1975,0,0,1973,1973,1973,0,0.126742712,0.050709939,-1,-1,0,0,0,0.005089059,0,1000,-20000,-0.07
1975,0,0,1972,1972,1972,0.169061708,0.063411541,0,-1,0,0,0,0.005089059,0.002538071,0,-600,-2000,0.41
1975,0,0,1972,1972,1972,0.084602369,0,0.050735667,0,0,0,0.005089059,0.002538071,0,-0.508905852,-300,14000,-1.69
1975,10,0.508905852,1971,1971,1971,0,0.063451777,0.050761421,0,0,0,0.002538071,0,0.002538071,0.762712959,300,14000,-0.15
1965,-5,-0.253807107,1970,1970,1970,-0.084530854,-0.063411541,-0.050735667,0,0,0,0,0.002538071,0.002538071,-0.00064255,-1100,16000,-0.21
